Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Score	timestamp	Detection threshold
1	Spectrogram 1	1	48.3	50.3	50.0	350.0	2009/04/01	0	0.9696556925773621	2009-04-01 00:00:48.300	0.5
2	Spectrogram 1	1	71.6	73.6	50.0	350.0	2009/04/01	0	0.5369639992713928	2009-04-01 00:01:11.600	0.5
3	Spectrogram 1	1	705.0	707.0	50.0	350.0	2009/04/01	0	0.6647694110870361	2009-04-01 00:11:45.000	0.5
4	Spectrogram 1	1	1009.3	1011.3	50.0	350.0	2009/04/01	0	0.6015812754631042	2009-04-01 00:16:49.300	0.5
5	Spectrogram 1	1	1130.6	1132.6	50.0	350.0	2009/04/01	0	0.9743626713752747	2009-04-01 00:18:50.600	0.5
6	Spectrogram 1	1	1142.7	1144.7	50.0	350.0	2009/04/01	0	0.8313329815864563	2009-04-01 00:19:02.700	0.5
7	Spectrogram 1	1	1268.7	1270.7	50.0	350.0	2009/04/01	0	0.9109923839569092	2009-04-01 00:21:08.700	0.5
8	Spectrogram 1	1	1337.4	1339.4	50.0	350.0	2009/04/01	0	0.9836366772651672	2009-04-01 00:22:17.400	0.5
9	Spectrogram 1	1	1346.0	1348.0	50.0	350.0	2009/04/01	0	0.65702885389328	2009-04-01 00:22:26.000	0.5
10	Spectrogram 1	1	1381.0	1383.0	50.0	350.0	2009/04/01	0	0.9873871207237244	2009-04-01 00:23:01.000	0.5
11	Spectrogram 1	1	1398.4	1400.4	50.0	350.0	2009/04/01	0	0.8650352358818054	2009-04-01 00:23:18.400	0.5
12	Spectrogram 1	1	1453.9	1455.9	50.0	350.0	2009/04/01	0	0.970867395401001	2009-04-01 00:24:13.900	0.5
13	Spectrogram 1	1	1567.8	1569.8	50.0	350.0	2009/04/01	0	0.9800586104393005	2009-04-01 00:26:07.800	0.5
14	Spectrogram 1	1	1710.2	1712.2	50.0	350.0	2009/04/01	0	0.5191084742546082	2009-04-01 00:28:30.200	0.5
15	Spectrogram 1	1	1809.6	1811.6	50.0	350.0	2009/04/01	0	0.97889643907547	2009-04-01 00:30:09.600	0.5
16	Spectrogram 1	1	1837.6	1839.6	50.0	350.0	2009/04/01	0	0.9848432540893555	2009-04-01 00:30:37.600	0.5
17	Spectrogram 1	1	1872.0	1874.0	50.0	350.0	2009/04/01	0	0.5039308667182922	2009-04-01 00:31:12.000	0.5
18	Spectrogram 1	1	1893.7	1895.7	50.0	350.0	2009/04/01	0	0.7243863344192505	2009-04-01 00:31:33.700	0.5
19	Spectrogram 1	1	1900.7	1902.7	50.0	350.0	2009/04/01	0	0.6128672957420349	2009-04-01 00:31:40.700	0.5
20	Spectrogram 1	1	1966.7	1968.7	50.0	350.0	2009/04/01	0	0.9947084188461304	2009-04-01 00:32:46.700	0.5
21	Spectrogram 1	1	2010.7	2012.7	50.0	350.0	2009/04/01	0	0.9888820052146912	2009-04-01 00:33:30.700	0.5
22	Spectrogram 1	1	2091.6	2093.6	50.0	350.0	2009/04/01	0	0.9931783676147461	2009-04-01 00:34:51.600	0.5
23	Spectrogram 1	1	2097.1	2099.1	50.0	350.0	2009/04/01	0	0.9485551118850708	2009-04-01 00:34:57.100	0.5
24	Spectrogram 1	1	2138.2	2140.2	50.0	350.0	2009/04/01	0	0.9857087135314941	2009-04-01 00:35:38.200	0.5
25	Spectrogram 1	1	2171.5	2173.5	50.0	350.0	2009/04/01	0	0.9989653825759888	2009-04-01 00:36:11.500	0.5
