Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz)
1,Spectrogram 1,10,440.535553,441.7183973,64.72081218,158.6294416
2,Spectrogram 1,10,2692.866199,2694.455646,46.95431472,189.0862944
3,Spectrogram 1,10,2711.218767,2712.216792,90.10152284,189.0862944
4,Spectrogram 1,10,2731.290155,2732.509964,82.48730964,217.0050761
5,Spectrogram 1,10,2895.613096,2896.758976,54.56852792,156.0913706
6,Spectrogram 1,10,2887.074439,2888.257283,54.56852792,181.4720812
7,Spectrogram 1,10,2930.69182,2932.207339,46.95431472,234.7715736
8,Spectrogram 1,10,3001.791848,3003.418259,54.56852792,222.0812183
9,Spectrogram 1,10,3044.873254,3046.16699,77.41116751,255.0761421
10,Spectrogram 1,10,3094.404856,3095.883412,107.8680203,234.7715736
11,Spectrogram 1,10,3101.354066,3102.573874,102.7918782,196.7005076
12,Spectrogram 1,10,3097.879461,3098.988378,72.33502538,227.1573604
13,Spectrogram 1,10,3124.031408,3125.325144,62.18274112,206.8527919
14,Spectrogram 1,10,3133.032114,3134.32585,64.72081218,194.1624365
15,Spectrogram 1,10,3165.911487,3167.168259,97.71573604,224.6192893
16,Spectrogram 1,10,3180.715522,3182.009258,77.41116751,196.7005076
17,Spectrogram 1,10,3218.548056,3219.767864,77.41116751,194.1624365
18,Spectrogram 1,10,3245.254461,3246.511233,85.02538071,211.928934
19,Spectrogram 1,10,3254.809625,3256.029433,57.10659898,184.0101523
20,Spectrogram 1,10,3302.714817,3304.008553,90.10152284,244.9238579
21,Spectrogram 1,10,3310.181521,3311.364365,90.10152284,178.9340102
22,Spectrogram 1,10,3379.618175,3380.948874,69.79695431,244.9238579
23,Spectrogram 1,10,3389.672351,3390.892159,54.56852792,189.0862944
24,Spectrogram 1,10,3473.913039,3475.243739,64.72081218,204.3147208
25,Spectrogram 1,10,3529.765466,3531.428841,49.49238579,184.0101523
26,Spectrogram 1,10,3768.552148,3769.661064,95.17766497,222.0812183
27,Spectrogram 1,10,4018.871561,4019.943513,95.17766497,189.0862944
28,Spectrogram 1,10,4027.964676,4029.258412,54.56852792,153.5532995
29,Spectrogram 1,10,4079.270545,4080.859992,69.79695431,176.3959391
30,Spectrogram 1,10,4113.831775,4115.421222,79.94923858,176.3959391
31,Spectrogram 1,10,4153.179828,4154.62142,62.18274112,209.3908629
32,Spectrogram 1,10,4189.589253,4191.030844,79.94923858,181.4720812
33,Spectrogram 1,10,4279.540861,4280.908525,72.33502538,229.6954315
34,Spectrogram 1,10,4309.075003,4310.18392,64.72081218,171.319797
35,Spectrogram 1,10,4315.987249,4317.244021,54.56852792,178.9340102
36,Spectrogram 1,10,4323.601809,4325.154292,90.10152284,242.3857868
37,Spectrogram 1,10,4392.151329,4393.223282,74.87309645,181.4720812
38,Spectrogram 1,10,4394.960584,4396.328248,62.18274112,163.7055838
39,Spectrogram 1,10,4413.165297,4414.200285,77.41116751,209.3908629
40,Spectrogram 1,10,4806.239224,4807.385105,57.10659898,156.0913706
41,Spectrogram 1,10,4813.188434,4814.186459,59.64467005,168.7817259
42,Spectrogram 1,10,4952.690127,4954.24261,64.72081218,204.3147208
43,Spectrogram 1,10,4956.90401,4958.604348,74.87309645,201.7766497
44,Spectrogram 1,10,5726.029997,5727.10195,74.87309645,199.2385787
45,Spectrogram 1,10,5805.26208,5806.740635,41.87817259,191.6243655
46,Spectrogram 1,10,6001.18914,6002.408948,74.87309645,250
47,Spectrogram 1,10,6200.276611,6201.755167,107.8680203,232.2335025
48,Spectrogram 1,10,6203.159794,6204.527458,77.41116751,173.857868
49,Spectrogram 1,10,6249.142864,6250.695347,82.48730964,222.0812183
50,Spectrogram 1,10,6272.892159,6274.038039,69.79695431,153.5532995
51,Spectrogram 1,10,6284.350962,6285.570771,85.02538071,196.7005076
52,Spectrogram 1,10,6297.436177,6298.766877,87.56345178,196.7005076
53,Spectrogram 1,10,6362.030562,6363.213406,72.33502538,168.7817259
54,Spectrogram 1,10,6422.078389,6423.335161,74.87309645,257.6142132
55,Spectrogram 1,10,6474.345319,6475.712983,64.72081218,275.3807107
56,Spectrogram 1,10,6518.701978,6519.847859,90.10152284,267.7664975
57,Spectrogram 1,10,6690.547069,6691.729913,69.79695431,173.857868
58,Spectrogram 1,10,6695.592639,6696.590663,64.72081218,199.2385787
59,Spectrogram 1,10,6737.934766,6739.080646,102.7918782,206.8527919
60,Spectrogram 1,10,6769.686741,6771.091369,118.0203046,239.8477157
61,Spectrogram 1,10,6797.391171,6798.537052,59.64467005,209.3908629
62,Spectrogram 1,10,6843.07853,6844.298338,95.17766497,178.9340102
63,Spectrogram 1,10,6848.290438,6849.584174,97.71573604,260.1522843
64,Spectrogram 1,10,6851.875934,6853.132706,97.71573604,211.928934
65,Spectrogram 1,10,6862.632424,6863.889196,69.79695431,211.928934
66,Spectrogram 1,10,6909.613519,6910.722435,67.25888325,257.6142132
67,Spectrogram 1,10,6926.265748,6927.337701,85.02538071,219.5431472
68,Spectrogram 1,10,6950.569501,6952.048056,87.56345178,214.4670051
69,Spectrogram 1,10,6963.784089,6964.74515,85.02538071,199.2385787
70,Spectrogram 1,10,6976.203953,6977.460725,64.72081218,143.4010152
71,Spectrogram 1,10,7003.575709,7005.349975,46.95431472,222.0812183
72,Spectrogram 1,10,7013.87015,7014.979066,62.18274112,186.5482234
73,Spectrogram 1,10,7018.453671,7019.96919,49.49238579,247.4619289
74,Spectrogram 1,10,7095.283101,7096.613801,77.41116751,252.5380711
75,Spectrogram 1,10,7128.31033,7129.604066,62.18274112,196.7005076
76,Spectrogram 1,10,7130.786911,7132.30243,57.10659898,194.1624365
77,Spectrogram 1,10,7139.048338,7139.861544,85.02538071,224.6192893
78,Spectrogram 1,10,7147.106465,7148.621984,74.87309645,166.2436548
79,Spectrogram 1,10,7154.166566,7155.497266,87.56345178,219.5431472
80,Spectrogram 1,10,7199.779997,7200.85195,72.33502538,194.1624365
81,Spectrogram 1,10,7201.99783,7203.180675,102.7918782,186.5482234
82,Spectrogram 1,10,7220.646109,7221.939845,90.10152284,178.9340102
83,Spectrogram 1,10,7255.928135,7256.963124,92.63959391,194.1624365
84,Spectrogram 1,10,7264.337418,7265.59419,92.63959391,176.3959391
85,Spectrogram 1,10,7297.327684,7298.362672,82.48730964,209.3908629
86,Spectrogram 1,10,7312.501358,7313.499382,72.33502538,148.4771574
87,Spectrogram 1,10,7314.867046,7316.160782,69.79695431,158.6294416
88,Spectrogram 1,10,7317.824157,7318.933073,82.48730964,145.9390863
89,Spectrogram 1,10,7333.921927,7334.919952,105.3299492,224.6192893
90,Spectrogram 1,10,7339.355618,7341.166848,85.02538071,239.8477157
