Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),SNR,Score,Tags,Notes
1,Spectrogram 1,10,7.743933409,9.333380361,64.72081218,295.6852792,7.84769,-0.529735,,
2,Spectrogram 1,10,8.963741535,9.961766366,44.41624365,184.0101523,-0.204832,-0.348336,,
3,Spectrogram 1,10,11.92085214,13.36244357,34.26395939,163.7055838,-2.068103,1.736338,,
4,Spectrogram 1,10,13.39940745,14.61921558,72.33502538,206.8527919,4.515723,4.938328,,
5,Spectrogram 1,10,16.35651806,17.57632619,79.94923858,209.3908629,3.595484,2.559041,,
6,Spectrogram 1,10,21.45753386,23.19483634,72.33502538,181.4720812,4.021595,3.818973,,
7,Spectrogram 1,10,27.6489842,28.90575621,105.3299492,326.142132,4.88151,4.764731,,
8,Spectrogram 1,10,30.31038375,31.53019187,133.248731,298.2233503,5.168237,5.834341,,
9,Spectrogram 1,10,55.51975169,56.85045147,92.63959391,248.2233503,5.787895,6.057891,,
10,Spectrogram 1,10,64.18778217,65.48151806,105.3299492,275.3807107,6.618998,6.419168,,
11,Spectrogram 1,10,68.95612302,70.02807562,77.41116751,194.1624365,7.305257,6.66569,,
12,Spectrogram 1,10,74.61159707,76.12711625,79.94923858,252.5380711,5.861754,5.850806,,
13,Spectrogram 1,10,101.5767494,103.6467269,64.72081218,239.8477157,-1.451705,6.73956,,
14,Spectrogram 1,10,127.7841422,128.5603837,87.56345178,189.0862944,-1.417564,5.299344,,
15,Spectrogram 1,10,128.8191309,129.8171558,72.33502538,303.2994924,2.70064,9.550454,,
16,Spectrogram 1,10,130.0019752,131,97.71573604,232.2335025,1.648491,8.50555,,
17,Spectrogram 1,10,133.513544,134.770316,62.18274112,232.2335025,7.974791,7.914451,,
18,Spectrogram 1,10,146.9314334,148.0403499,79.94923858,227.1573604,7.016739,7.481171,,
19,Spectrogram 1,10,150.4430023,151.3301354,77.41116751,209.3908629,6.177891,6.490204,,
20,Spectrogram 1,10,153.2152935,154.5090293,95.17766497,222.0812183,10.313939,9.680954,,
21,Spectrogram 1,10,164.0826749,165.2655192,126.3959391,306.0913706,-1.140389,1.999646,,
22,Spectrogram 1,10,166.7440745,167.5942438,105.0761421,245.177665,3.48771,6.36135,,
23,Spectrogram 1,10,184.3573646,185.5771727,86.80203046,229.9492386,4.2906,4.546293,,
24,Spectrogram 1,10,188.940886,190.4933691,98.98477157,199.4923858,0.078065,2.198794,,
25,Spectrogram 1,10,191.0478273,192.2306716,102.0304569,290.8629442,5.040388,5.581323,,
26,Spectrogram 1,10,194.1527935,195.557421,92.89340102,175.1269036,1.122077,0.550009,,
27,Spectrogram 1,10,207.2934537,208.5132619,80.7106599,257.3604061,4.909061,5.085303,,
28,Spectrogram 1,10,215.1297968,216.5344244,56.34517766,211.6751269,1.29604,2.003504,,
29,Spectrogram 1,10,225.6460214,226.9397573,59.39086294,223.857868,5.773379,5.349494,,
30,Spectrogram 1,10,259.5234199,260.8541196,62.43654822,254.3147208,4.360816,4.108624,,
31,Spectrogram 1,10,265.3637133,267.1379797,65.4822335,217.7664975,0.388854,1.267772,,
32,Spectrogram 1,10,275.7320824,276.6561795,41.11675127,190.3553299,5.656397,5.745208,,
33,Spectrogram 1,10,278.0977709,279.2436512,98.98477157,263.4517766,3.532484,3.198068,,
34,Spectrogram 1,10,307.6134312,308.9810948,62.43654822,202.5380711,3.655228,3.660292,,
35,Spectrogram 1,10,326.6683126,327.6663375,77.66497462,214.7208122,4.724781,5.106442,,
36,Spectrogram 1,10,335.3178612,336.5746332,86.80203046,251.2690355,8.744372,8.83045,,
37,Spectrogram 1,10,342.2301072,343.2650959,123.3502538,318.2741117,6.502367,6.13218,,
38,Spectrogram 1,10,348.7911964,349.7892212,65.4822335,217.7664975,4.905658,5.711215,,
39,Spectrogram 1,10,357.1819977,358.1060948,71.57360406,141.6243655,2.829952,2.620924,,
40,Spectrogram 1,10,365.1292325,366.6817156,95.93908629,254.3147208,9.312147,8.905088,,
41,Spectrogram 1,10,382.594667,383.4448363,68.52791878,239.0862944,3.937657,4.20287,,
42,Spectrogram 1,10,392.6673251,393.9610609,92.89340102,211.6751269,3.396538,3.808992,,
43,Spectrogram 1,10,421.8872743,423.0701185,74.61928934,223.857868,4.380195,4.750838,,
44,Spectrogram 1,10,468.2399831,469.2380079,50.25380711,199.4923858,9.070353,9.065744,,
45,Spectrogram 1,10,475.2261569,476.150254,74.61928934,242.1319797,4.146284,4.949038,,
46,Spectrogram 1,10,494.6137133,496.0922686,77.66497462,220.8121827,5.337419,4.660088,,
47,Spectrogram 1,10,506.6639391,507.6619639,98.98477157,226.9035533,-0.081205,1.695787,,
48,Spectrogram 1,10,519.287105,520.6547686,114.213198,266.4974619,-3.7132,3.405763,,
49,Spectrogram 1,10,546.5110045,547.7677765,47.20812183,214.7208122,9.93961,9.753789,,
50,Spectrogram 1,10,573.8827596,574.9916761,98.98477157,260.4060914,5.99777,7.978303,,
51,Spectrogram 1,10,597.8168736,598.9997178,102.0304569,275.6345178,3.199334,3.971438,,
52,Spectrogram 1,10,591.2003386,592.4201467,108.1218274,330.4568528,4.472107,4.243326,,
53,Spectrogram 1,10,616.908719,618.0915632,111.1675127,239.0862944,4.536876,4.885102,,
54,Spectrogram 1,10,626.8889673,627.923956,71.57360406,248.2233503,-1.584547,7.619788,,
55,Spectrogram 1,10,637.2943002,638.5510722,44.16243655,169.035533,8.031322,7.930484,,
56,Spectrogram 1,10,745.1549097,746.9291761,89.84771574,339.5939086,2.023313,1.91996,,
57,Spectrogram 1,10,747.6684537,749.1839729,83.75634518,242.1319797,1.124649,2.137964,,
58,Spectrogram 1,10,752.1410835,753.2130361,62.43654822,211.6751269,0.202648,2.22253,,
59,Spectrogram 1,10,762.6573081,764.1728273,89.84771574,272.5888325,4.543243,3.76926,,
60,Spectrogram 1,10,766.8342269,768.1279628,89.84771574,242.1319797,2.883012,3.056979,,
61,Spectrogram 1,10,795.1670429,796.4238149,92.89340102,229.9492386,4.242911,4.315946,,
62,Spectrogram 1,10,832.3342269,833.6279628,83.75634518,211.6751269,6.238691,7.197093,,
63,Spectrogram 1,10,814.2588883,815.1829853,92.89340102,175.1269036,2.382095,3.21536,,
64,Spectrogram 1,10,846.2141648,847.3600451,95.93908629,239.0862944,2.818042,2.871816,,
65,Spectrogram 1,10,872.5139673,873.9925226,108.1218274,266.4974619,2.136318,2.033452,,
66,Spectrogram 1,10,876.8017777,877.8367664,83.75634518,217.7664975,6.500686,6.057393,,
67,Spectrogram 1,10,883.0301919,884.2869639,71.57360406,190.3553299,3.568645,3.210991,,
68,Spectrogram 1,10,906.0771727,907.4448363,92.89340102,251.2690355,1.724627,1.397672,,
69,Spectrogram 1,10,951.4503386,952.4853273,92.89340102,236.0406091,5.181067,5.789384,,
70,Spectrogram 1,10,964.554035,966.0695542,105.0761421,284.7715736,2.767276,3.569469,,
71,Spectrogram 1,10,981.3171558,982.5,92.89340102,260.4060914,8.402176,8.365498,,
72,Spectrogram 1,10,986.3812077,987.527088,65.4822335,193.4010152,12.739571,13.621259,,
73,Spectrogram 1,10,997.3594808,998.5423251,102.0304569,217.7664975,1.030952,0.675076,,?
